System name,Input values,Output values,Diagnoses with prob
74182,"[0, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 1]","['gate67', 'gate63', 'gate58', 'gate53', 0.381]"
74182,"[1, 1, 1, 1, 0, 0, 0, 1, 0]","[1, 0, 1, 0, 1]","['gate70', 'gate67', 'gate63', 'gate58', 0.388]","['gate67', 'gate58', 'gate49', 'gate63', 0.388]"
74182,"[0, 1, 1, 0, 1, 0, 1, 1, 1]","[0, 1, 0, 1, 1]","['gate70', 'gate63', 'gate58', 'gate53', 0.336]"
74182,"[1, 1, 0, 0, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 1]","['gate63', 'gate53', 0.368]"
74182,"[0, 1, 0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","['gate70', 'gate67', 'gate63', 'gate53', 0.392]"
74182,"[1, 1, 1, 1, 1, 1, 0, 1, 1]","[1, 0, 1, 1, 0]","['gate70', 'gate67', 'gate63', 'gate58', 0.327]","['gate67', 'gate58', 'gate49', 'gate63', 0.327]"
74182,"[0, 1, 0, 1, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 1]","['gate67', 'gate58', 0.396]"
74182,"[1, 0, 1, 1, 0, 1, 1, 1, 0]","[1, 0, 0, 0, 0]"
74182,"[0, 1, 1, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 0, 0]","['gate67', 'gate63', 0.432]"
74182,"[1, 1, 0, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","['gate58', 'gate53', 0.511]"
74182,"[1, 1, 1, 0, 1, 0, 0, 1, 0]","[0, 1, 1, 0, 0]","['gate67', 'gate53', 0.523]"
74182,"[0, 0, 1, 1, 0, 0, 0, 1, 0]","[1, 0, 1, 0, 1]","['gate70', 'gate67', 'gate63', 0.359]","['gate67', 'gate49', 'gate63', 0.359]"
74182,"[1, 0, 1, 0, 0, 0, 0, 0, 1]","[1, 0, 1, 1, 1]"
74182,"[1, 1, 1, 1, 0, 1, 0, 1, 0]","[0, 0, 0, 1, 1]","['gate58', 'gate49', 'gate53', 0.347]"
74182,"[1, 0, 0, 0, 1, 1, 1, 1, 0]","[1, 0, 1, 0, 1]","['gate70', 0.633]"
74182,"[0, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0]","['gate70', 'gate63', 'gate53', 0.35]"
74182,"[0, 0, 0, 1, 1, 0, 1, 0, 1]","[0, 1, 1, 0, 0]","['gate70', 'gate67', 'gate58', 'gate53', 0.251]"
74182,"[1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","['gate67', 'gate63', 'gate53', 0.478]"
74182,"[1, 1, 0, 0, 1, 0, 0, 1, 0]","[0, 1, 1, 0, 0]","['gate67', 'gate53', 0.32]"
74182,"[0, 0, 1, 1, 1, 1, 0, 1, 1]","[0, 1, 1, 0, 1]","['gate63', 'gate58', 'gate53', 0.378]"
74182,"[1, 0, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 1]","['gate67', 'gate53', 0.412]"
74182,"[1, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 1, 0]","['gate70', 'gate63', 'gate53', 0.341]"
74182,"[0, 1, 0, 1, 1, 0, 1, 1, 0]","[0, 0, 0, 1, 0]","['gate63', 'gate53', 0.524]"
74182,"[0, 0, 1, 1, 0, 1, 1, 1, 0]","[1, 0, 0, 0, 0]"
74182,"[0, 0, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 0, 0, 0]","['gate70', 'gate67', 'gate58', 0.378]"
74182,"[1, 1, 1, 1, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 1]","['gate67', 'gate63', 'gate53', 0.298]"
74182,"[1, 1, 1, 1, 1, 0, 0, 1, 0]","[1, 0, 0, 1, 1]","['gate70', 'gate58', 0.457]","['gate58', 'gate49', 0.457]"
74182,"[0, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 1, 0, 0]","['gate70', 'gate67', 0.566]"
74182,"[1, 1, 0, 0, 1, 1, 0, 0, 1]","[0, 1, 1, 0, 1]","['gate53', 0.442]"
74182,"[0, 0, 1, 1, 1, 1, 1, 0, 0]","[1, 0, 0, 1, 1]","['gate67', 0.531]"
74182,"[0, 1, 0, 0, 0, 1, 1, 1, 0]","[0, 1, 0, 0, 1]","['gate70', 'gate63', 'gate58', 'gate53', 0.248]"
74182,"[1, 1, 1, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","['gate70', 'gate67', 'gate63', 'gate53', 0.335]"
74182,"[0, 1, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 0]","['gate67', 'gate53', 0.467]"
74182,"[1, 1, 1, 1, 0, 0, 1, 1, 0]","[0, 1, 0, 0, 0]","['gate67', 'gate53', 0.436]"
74182,"[0, 0, 0, 0, 0, 0, 1, 1, 1]","[0, 1, 0, 1, 1]","['gate70', 'gate63', 'gate58', 'gate53', 0.268]"
74182,"[0, 1, 1, 0, 0, 1, 1, 0, 0]","[1, 1, 0, 1, 1]","['gate63', 'gate58', 0.44]"
74182,"[1, 1, 0, 1, 1, 0, 1, 1, 0]","[1, 0, 1, 1, 0]","['gate58', 0.531]"
74182,"[1, 1, 1, 0, 0, 1, 0, 1, 1]","[0, 0, 0, 1, 0]","['gate70', 'gate63', 'gate58', 'gate53', 0.348]"
74182,"[1, 0, 0, 1, 0, 0, 1, 1, 0]","[0, 1, 1, 1, 1]","['gate70', 'gate58', 'gate53', 0.399]"
74182,"[0, 0, 1, 0, 1, 1, 1, 1, 1]","[1, 0, 0, 1, 0]","['gate67', 'gate63', 0.423]"
74182,"[1, 1, 0, 0, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 1]","['gate70', 'gate63', 'gate58', 'gate53', 0.283]"
74182,"[0, 0, 1, 0, 0, 0, 1, 1, 0]","[0, 1, 1, 1, 1]","['gate70', 'gate58', 'gate53', 0.382]"
74182,"[1, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0]","['gate70', 'gate67', 'gate58', 'gate53', 0.238]"
74182,"[0, 0, 1, 1, 0, 1, 0, 0, 1]","[1, 1, 0, 0, 0]","['gate70', 'gate67', 'gate58', 0.388]"
74182,"[0, 0, 1, 1, 0, 0, 0, 0, 1]","[0, 1, 1, 0, 1]","['gate67', 'gate63', 'gate58', 'gate53', 0.357]"
74182,"[0, 0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 0, 1]","['gate67', 'gate58', 'gate53', 0.535]"
74182,"[0, 1, 0, 1, 0, 1, 0, 1, 0]","[1, 0, 0, 1, 1]","['gate70', 'gate67', 'gate58', 'gate53', 0.314]","['gate58', 'gate49', 'gate53', 'gate63', 0.314]"
74182,"[0, 0, 1, 0, 0, 0, 1, 0, 1]","[0, 1, 1, 1, 0]","['gate70', 'gate58', 'gate53', 0.414]"
74182,"[0, 1, 0, 0, 1, 0, 1, 1, 1]","[0, 1, 1, 0, 0]","['gate67', 'gate58', 'gate53', 0.34]"
74182,"[1, 1, 0, 0, 1, 1, 0, 1, 1]","[0, 1, 1, 1, 1]","['gate67', 'gate53', 0.556]"
74182,"[0, 0, 0, 1, 1, 0, 1, 1, 1]","[0, 0, 1, 0, 1]","['gate70', 'gate67', 'gate53', 0.382]"
74182,"[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","['gate70', 'gate67', 'gate63', 0.327]"
74182,"[1, 1, 0, 1, 1, 1, 0, 1, 0]","[0, 0, 1, 0, 1]","['gate70', 'gate63', 'gate58', 'gate53', 0.312]","['gate58', 'gate49', 'gate53', 'gate63', 0.312]"
74182,"[0, 1, 0, 1, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0]","['gate70', 'gate58', 'gate53', 0.313]","['gate58', 'gate49', 'gate53', 0.313]"
74182,"[1, 1, 0, 0, 1, 1, 0, 1, 0]","[1, 1, 0, 0, 0]","['gate63', 0.504]"
74182,"[0, 0, 1, 0, 0, 1, 1, 0, 0]","[0, 1, 1, 1, 1]","['gate58', 'gate53', 0.469]"
74182,"[0, 1, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 1, 1]","['gate63', 'gate53', 0.4]"
74182,"[0, 1, 1, 1, 0, 1, 1, 1, 1]","[0, 1, 0, 1, 1]","['gate70', 'gate67', 'gate53', 0.364]"
74182,"[1, 0, 1, 1, 1, 0, 0, 0, 0]","[1, 0, 1, 1, 1]","['gate63', 0.538]"
74182,"[0, 1, 1, 0, 0, 0, 0, 0, 1]","[0, 1, 1, 0, 0]","['gate70', 'gate67', 'gate58', 'gate53', 0.379]"
74182,"[0, 1, 1, 0, 0, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['gate70', 'gate67', 'gate58', 'gate53', 0.391]"
74182,"[1, 0, 0, 1, 1, 1, 0, 0, 0]","[1, 1, 0, 1, 0]","['gate70', 'gate67', 'gate58', 0.337]"
74182,"[1, 1, 0, 1, 1, 1, 1, 1, 0]","[0, 1, 0, 1, 1]","['gate70', 'gate67', 'gate53', 0.409]"
74182,"[0, 1, 0, 1, 0, 1, 0, 0, 1]","[0, 0, 1, 1, 1]"
74182,"[1, 0, 1, 0, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1]","['gate70', 'gate67', 0.561]"
74182,"[1, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 1, 0]","['gate70', 'gate53', 0.354]"
74182,"[1, 1, 0, 0, 0, 0, 1, 0, 1]","[0, 1, 0, 1, 1]","['gate63', 'gate53', 0.394]"
74182,"[1, 0, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 1, 0, 1]","['gate67', 'gate63', 'gate58', 'gate53', 0.296]"
74182,"[1, 0, 1, 0, 1, 1, 0, 1, 0]","[1, 0, 0, 0, 1]","['gate70', 'gate63', 0.412]","['gate49', 'gate63', 0.412]"
74182,"[0, 1, 0, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 1]","['gate67', 'gate63', 0.496]"
74182,"[1, 0, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 1, 1, 1]","['gate67', 'gate63', 'gate58', 0.321]"
74182,"[0, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","['gate67', 'gate63', 'gate58', 0.459]"
74182,"[0, 1, 0, 0, 1, 1, 0, 0, 1]","[1, 1, 1, 0, 1]","['gate58', 0.468]"
74182,"[0, 1, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 0, 1, 0]","['gate70', 'gate63', 'gate58', 'gate53', 0.32]"
74182,"[1, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","['gate67', 'gate58', 0.497]"
74182,"[1, 1, 1, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0]","['gate70', 'gate67', 'gate63', 'gate58', 'gate53', 0.358]"
74182,"[1, 1, 1, 1, 0, 1, 0, 0, 1]","[1, 0, 1, 0, 0]","['gate70', 'gate67', 'gate63', 'gate58', 0.309]"
74182,"[0, 0, 0, 1, 1, 1, 1, 0, 0]","[0, 0, 1, 0, 1]","['gate63', 'gate53', 0.448]"
74182,"[1, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","['gate67', 'gate53', 0.461]"
74182,"[0, 0, 0, 1, 0, 1, 1, 1, 1]","[1, 0, 0, 0, 1]","['gate70', 0.502]"
74182,"[1, 1, 1, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 0, 0]","['gate70', 'gate67', 'gate63', 0.332]"
74182,"[0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1]","['gate63', 0.487]"
74182,"[0, 1, 1, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0]","['gate70', 'gate67', 'gate58', 'gate53', 0.221]"
74182,"[0, 0, 1, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 0]","['gate67', 'gate58', 0.37]"
74182,"[0, 1, 1, 1, 0, 0, 1, 0, 1]","[1, 0, 0, 0, 1]","['gate67', 'gate58', 0.442]"
74182,"[1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 0, 1, 0, 0]","['gate70', 'gate67', 'gate58', 0.422]"
74182,"[1, 1, 0, 0, 1, 0, 1, 1, 1]","[0, 1, 1, 1, 1]","['gate70', 'gate53', 0.368]"
74182,"[0, 0, 0, 0, 1, 1, 0, 1, 0]","[0, 0, 0, 0, 1]","['gate70', 'gate63', 'gate53', 0.348]","['gate49', 'gate53', 'gate63', 0.348]"
74182,"[0, 0, 1, 1, 1, 1, 0, 0, 1]","[0, 0, 0, 1, 1]","['gate67', 'gate53', 0.463]"
74182,"[0, 0, 0, 1, 1, 0, 1, 0, 0]","[1, 0, 1, 1, 0]","['gate70', 0.544]"
74182,"[0, 0, 1, 1, 1, 0, 0, 1, 1]","[1, 0, 0, 1, 0]","['gate70', 0.451]","['gate49', 0.451]"
74182,"[1, 1, 0, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 1]"
74182,"[0, 1, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 0]","['gate70', 'gate63', 'gate53', 0.371]"
74182,"[1, 0, 1, 1, 1, 0, 0, 1, 0]","[0, 0, 0, 1, 0]","['gate53', 0.444]"
74182,"[0, 0, 1, 0, 1, 1, 0, 1, 1]","[0, 1, 0, 1, 1]","['gate67', 'gate63', 'gate58', 'gate53', 0.395]"
74182,"[0, 0, 0, 1, 0, 0, 1, 1, 1]","[0, 0, 0, 1, 1]","['gate70', 'gate63', 'gate53', 0.351]"
74182,"[1, 0, 0, 0, 1, 1, 1, 0, 0]","[0, 1, 0, 0, 0]","['gate70', 'gate63', 'gate58', 'gate53', 0.296]"
74182,"[0, 1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 0]","['gate70', 'gate67', 'gate58', 0.422]","['gate67', 'gate58', 'gate49', 0.422]"
74182,"[0, 0, 0, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 0, 0]","['gate63', 'gate58', 'gate53', 0.378]"
74182,"[1, 0, 1, 0, 0, 0, 0, 1, 0]","[0, 1, 1, 0, 0]","['gate67', 'gate58', 'gate53', 0.354]"
74182,"[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 0, 0, 1]"
74182,"[0, 0, 0, 0, 0, 1, 1, 0, 0]","[1, 1, 0, 0, 0]","['gate70', 'gate67', 'gate63', 'gate58', 0.247]"
74182,"[0, 0, 0, 1, 1, 0, 0, 1, 1]","[0, 1, 0, 0, 0]","['gate70', 'gate67', 'gate63', 'gate58', 'gate53', 0.261]","['gate67', 'gate58', 'gate49', 'gate53', 'gate63', 0.261]"
74182,"[1, 1, 0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 0, 0]","['gate70', 'gate63', 'gate53', 0.541]"
74182,"[1, 1, 0, 1, 1, 1, 0, 1, 1]","[0, 1, 0, 0, 1]","['gate53', 0.505]"
74182,"[0, 1, 0, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 1, 1]","['gate63', 'gate58', 'gate53', 0.365]"
74182,"[1, 1, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","['gate70', 'gate67', 'gate58', 'gate53', 0.329]"
74182,"[1, 1, 0, 0, 1, 1, 1, 1, 1]","[0, 1, 1, 0, 1]","['gate70', 'gate53', 0.419]"
74182,"[1, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 1, 1]","['gate70', 'gate63', 'gate58', 'gate53', 0.425]","['gate58', 'gate49', 'gate53', 'gate63', 0.425]"
74182,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","[1, 0, 1, 1, 1]","['gate70', 0.446]","['gate49', 0.446]"
74182,"[1, 0, 1, 1, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","['gate70', 'gate67', 'gate58', 'gate53', 0.35]"
74182,"[1, 1, 1, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1]","['gate67', 'gate63', 'gate58', 'gate53', 0.333]"
74182,"[1, 0, 0, 1, 0, 1, 0, 1, 1]","[1, 0, 1, 1, 0]","['gate70', 0.522]"
74182,"[0, 1, 0, 1, 0, 1, 1, 1, 0]","[0, 1, 1, 1, 1]","['gate70', 'gate67', 'gate63', 'gate53', 0.384]"
74182,"[1, 1, 0, 0, 1, 0, 0, 1, 1]","[0, 1, 0, 0, 0]","['gate70', 'gate67', 'gate63', 'gate53', 0.242]","['gate67', 'gate49', 'gate53', 'gate63', 0.242]"
74182,"[0, 1, 0, 0, 1, 0, 1, 0, 1]","[0, 0, 1, 0, 0]","['gate70', 'gate67', 'gate53', 0.397]"
74182,"[0, 1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 0, 0]","['gate63', 0.651]"
74182,"[0, 0, 1, 1, 0, 0, 1, 1, 0]","[1, 1, 0, 1, 1]","['gate70', 'gate58', 0.481]"
74182,"[1, 1, 0, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 0, 0]","['gate67', 0.532]"
74182,"[0, 1, 1, 1, 1, 0, 0, 1, 1]","[1, 0, 1, 0, 1]","['gate67', 'gate63', 'gate58', 0.404]"
74182,"[1, 0, 1, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 0]","['gate70', 'gate67', 'gate63', 0.456]","['gate67', 'gate49', 'gate63', 0.456]"
74182,"[1, 0, 0, 1, 0, 1, 1, 1, 1]","[0, 1, 0, 0, 1]","['gate70', 'gate58', 'gate53', 0.329]"
74182,"[0, 1, 1, 1, 1, 0, 0, 0, 1]","[1, 0, 0, 1, 1]","['gate58', 0.415]"
74182,"[0, 1, 0, 0, 0, 0, 1, 0, 0]","[1, 1, 0, 0, 1]","['gate67', 'gate63', 'gate58', 0.454]"
74182,"[0, 1, 1, 0, 1, 1, 0, 0, 0]","[1, 0, 1, 0, 0]","['gate70', 0.39]"
74182,"[0, 1, 0, 0, 1, 0, 0, 1, 1]","[0, 0, 1, 0, 1]","['gate67', 'gate53', 0.482]"
74182,"[1, 1, 1, 1, 1, 0, 1, 0, 0]","[1, 0, 0, 1, 0]","['gate70', 'gate58', 0.449]"
74182,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 1]","['gate67', 'gate63', 'gate58', 0.445]"
74182,"[1, 0, 0, 1, 1, 0, 1, 1, 1]","[0, 1, 0, 0, 1]","['gate70', 'gate67', 'gate63', 'gate58', 'gate53', 0.284]"
74182,"[1, 0, 0, 1, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 1]","['gate67', 'gate63', 'gate53', 0.397]"
74182,"[1, 0, 1, 1, 0, 1, 1, 0, 0]","[0, 0, 1, 0, 1]","['gate67', 'gate63', 'gate53', 0.29]"
74182,"[1, 1, 0, 1, 1, 0, 0, 0, 1]","[1, 0, 1, 1, 0]","['gate70', 'gate58', 0.463]"
74182,"[1, 0, 1, 1, 0, 0, 1, 0, 0]","[1, 0, 1, 1, 0]","['gate70', 'gate63', 0.479]"
74182,"[0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 1]","['gate67', 'gate63', 'gate53', 0.428]"
74182,"[1, 1, 0, 1, 0, 1, 1, 0, 0]","[1, 1, 0, 1, 1]","['gate63', 0.473]"
74182,"[0, 0, 0, 1, 0, 1, 1, 0, 1]","[1, 0, 0, 0, 0]","['gate70', 'gate67', 'gate63', 0.447]"
74182,"[1, 1, 0, 1, 1, 0, 1, 0, 0]","[0, 0, 1, 0, 1]","['gate67', 'gate58', 'gate53', 0.402]"
74182,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['gate70', 'gate67', 'gate63', 'gate58', 0.369]"
74182,"[0, 1, 0, 1, 0, 0, 1, 1, 1]","[0, 0, 0, 1, 0]","['gate63', 'gate53', 0.428]"
74182,"[0, 1, 1, 1, 0, 0, 1, 1, 0]","[0, 0, 1, 1, 1]","['gate70', 'gate63', 'gate58', 'gate53', 0.349]"
74182,"[0, 0, 1, 1, 0, 0, 1, 1, 1]","[0, 0, 1, 1, 1]","['gate70', 'gate63', 'gate53', 0.43]"
74182,"[1, 1, 1, 1, 1, 0, 0, 0, 1]","[1, 0, 0, 1, 0]","['gate70', 'gate58', 0.537]"
74182,"[0, 1, 1, 0, 1, 1, 1, 0, 1]","[0, 0, 1, 1, 0]","['gate70', 'gate67', 'gate53', 0.378]"
74182,"[0, 1, 0, 0, 0, 1, 0, 0, 1]","[1, 0, 1, 1, 0]","['gate70', 'gate53', 0.418]"
74182,"[0, 1, 1, 1, 1, 1, 0, 1, 1]","[0, 1, 1, 1, 0]","['gate70', 'gate67', 'gate63', 'gate53', 0.256]","['gate67', 'gate49', 'gate53', 'gate63', 0.256]"
74182,"[0, 1, 0, 1, 1, 1, 0, 0, 1]","[0, 0, 0, 0, 0]","['gate70', 'gate58', 'gate53', 0.348]"
74182,"[1, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","['gate70', 'gate63', 'gate58', 'gate53', 0.321]"
74182,"[1, 0, 0, 1, 1, 0, 1, 0, 0]","[1, 1, 1, 0, 0]","['gate70', 'gate67', 'gate58', 0.345]"
74182,"[0, 1, 0, 1, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 1]","['gate70', 'gate67', 'gate63', 'gate58', 0.299]"
74182,"[0, 1, 1, 0, 1, 1, 1, 1, 0]","[0, 0, 1, 0, 1]","['gate70', 'gate53', 0.374]"
74182,"[0, 0, 1, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 1, 0]","['gate70', 'gate63', 'gate58', 'gate53', 0.333]"
74182,"[1, 1, 0, 1, 0, 1, 0, 0, 1]","[0, 1, 0, 0, 1]","['gate67', 'gate63', 'gate53', 0.4]"
74182,"[0, 1, 1, 0, 0, 1, 0, 1, 1]","[0, 1, 1, 1, 1]","['gate58', 'gate53', 0.357]"
74182,"[1, 0, 1, 0, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1]","['gate58', 0.498]"
74182,"[0, 0, 0, 0, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 1]","['gate63', 'gate58', 'gate53', 0.37]"
74182,"[0, 0, 1, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 1]","['gate67', 'gate63', 'gate58', 'gate53', 0.405]"
74182,"[0, 1, 1, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0]","['gate67', 'gate63', 'gate53', 0.364]"
74182,"[1, 1, 1, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 1]","['gate70', 'gate67', 0.345]"
74182,"[1, 1, 1, 1, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 1]","['gate67', 'gate63', 0.594]"
74182,"[0, 1, 1, 0, 0, 0, 0, 1, 1]","[1, 1, 0, 0, 0]","['gate70', 'gate67', 'gate63', 'gate58', 0.284]","['gate67', 'gate58', 'gate49', 'gate63', 0.284]"
74182,"[0, 1, 1, 1, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 0]","['gate70', 'gate67', 'gate58', 0.423]"
74182,"[0, 0, 1, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 1, 1]","['gate70', 'gate63', 'gate53', 0.301]","['gate49', 'gate53', 'gate63', 0.301]"
